Created;Modified;Side;Factor;Instrument;Client;Underlying instrument;Status;Status text;Venue identifier;Price;Total #;Filled #;Active #;Portfolio;Instrument identifier;CCY;Owner
Monday, May 14, 2018 11:48:53.605;Monday, May 14, 2018 11:48:53.609;Buy;100;SCA B Dec 18 P 270;;SCA B;Working;;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;3;0;3;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:43:41.478;Monday, May 14, 2018 11:43:41.554;Sell;100;SCA B Jul 18 P 80;;SCA B;Working;;0f9e71de-6942-4615-a8a7-76272ad9d3e3;79.995;57;0;57;Anna;13d8a5f6-4133-11e8-a3f0-9077a52b3977;SEK;korniychuk
Monday, May 14, 2018 11:43:35.179;Monday, May 14, 2018 11:43:38.979;Buy;100;SCA B Jun 18 C 250;;SCA B;Working;;0f9e71de-6942-4615-a8a7-76272ad9d3e3;249.995;55;0;55;Anna;09a5808a-4f2c-11e7-9cd0-8908d45735e5;SEK;korniychuk
Monday, May 14, 2018 11:05:33.769;Monday, May 14, 2018 11:08:17.249;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:06:34.389;Monday, May 14, 2018 11:06:34.391;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Flow: Net value - Post trade (25800.00 SEK) for orders exceeds limit (20000.00 SEK) (Owner=korniychuk, Portfolio=Anna, Venue=Internal);0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:06:57.847;Monday, May 14, 2018 11:06:57.849;Sell;100;SCA B Dec 18 P 270;;SCA B;Completed;Flow: Net value - Post trade (25800.00 SEK) for orders exceeds limit (20000.00 SEK) (Owner=korniychuk, Portfolio=Anna, Venue=Internal);0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:08:22.688;Monday, May 14, 2018 11:08:31.874;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:08:24.951;Monday, May 14, 2018 11:08:24.953;Sell;100;SCA B Dec 18 P 270;;SCA B;Completed;Flow: Net value - Post trade (25800.00 SEK) for orders exceeds limit (20000.00 SEK) (Owner=korniychuk, Portfolio=Anna, Venue=Internal);0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:08:36.096;Monday, May 14, 2018 11:08:58.530;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;3;3;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:08:40.038;Monday, May 14, 2018 11:08:40.044;Sell;100;SCA B Dec 18 P 270;;SCA B;Completed;;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;1;1;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:08:53.491;Monday, May 14, 2018 11:08:53.496;Sell;100;SCA B Dec 18 P 270;;SCA B;Completed;;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;2;2;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:09:32.663;Monday, May 14, 2018 11:09:51.230;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:09:54.965;Monday, May 14, 2018 11:11:29.118;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:12:12.062;Monday, May 14, 2018 11:19:59.448;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:21:17.370;Monday, May 14, 2018 11:41:36.437;Buy;100;SCA B Dec 18 P 270;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;6.00;0;0;0;Anna;cd04789a-e30e-11e6-9b00-6012ef97d5c0;SEK;korniychuk
Monday, May 14, 2018 11:30:49.100;Monday, May 14, 2018 11:41:36.438;Buy;100;SCA B Jun 18 C 510;;SCA B;Completed;Canceled;0f9e71de-6942-4615-a8a7-76272ad9d3e3;510.004;0;0;0;Anna;09a72ee4-4f2c-11e7-9cd0-8908d45735e5;SEK;korniychuk
Monday, May 14, 2018 11:30:54.101;Monday, May 14, 2018 11:30:54.175;Sell;100;SCA B Jun 18 C 92.5;;SCA B;Completed;Flow: Net value - Post trade (4694436.80 SEK) for orders exceeds limit (2000000.00 SEK) (Owner=korniychuk, Portfolio=Anna, Venue=Internal);0f9e71de-6942-4615-a8a7-76272ad9d3e3;92.497;0;0;0;Anna;a643f678-25ba-11e8-83b0-ac1e50a63184;SEK;korniychuk
