Created;Modified;Factor;Active #;Filled #;Price;Algo label;Status;Status text;Side;Instrument;Underlying instrument;Venue;MIC;Order reference;Order identifier;Order reference (venue);Service
Thursday, May 10, 2018 17:30:19.663;Thursday, May 10, 2018 17:36:10.072;100;55;12;4.00;;Working;;Sell;SCA B Dec 18 P 250;SCA B;Internal;XPET;Arg33naqm5mo;aa5c4bf2-545e-11e8-b400-252ee4ffbdc1;aa5deb38-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:31:17.692;Thursday, May 10, 2018 17:36:36.787;100;16;19;2.00;;Working;;Sell;SCA B Dec 18 P 210;SCA B;Internal;XPET;Arg33naqm5mz;ccf2d2da-545e-11e8-b380-c1ccf142e871;ccf4b546-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:31:01.764;Thursday, May 10, 2018 17:31:01.774;100;24;0;6.00;;Working;;Sell;SCA B Dec 18 P 350;SCA B;Internal;XPET;Arg33naqm5mw;c3746ee4-545e-11e8-b400-252ee4ffbdc1;c375d2c0-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:31:07.453;Thursday, May 10, 2018 17:31:07.464;100;24;0;66.00;;Working;;Sell;SCA B Dec 18 C 270;SCA B;Internal;XPET;Arg33naqm5mx;c6d88610-545e-11e8-b380-c1ccf142e871;c6da19b2-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:31:12.629;Thursday, May 10, 2018 17:31:12.632;100;24;0;4.00;;Working;;Sell;SCA B Dec 18 C 290;SCA B;Internal;XPET;Arg33naqm5my;c9ee337c-545e-11e8-b400-252ee4ffbdc1;c9ee90ce-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:30:43.602;Thursday, May 10, 2018 17:37:02.962;100;325;131;1.00;;Working;;Buy;SCA B Dec 18 P 250;SCA B;Internal;XPET;Arg33naqm5ms;b8a116fc-545e-11e8-b400-252ee4ffbdc1;b8a1735e-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:30:52.669;Thursday, May 10, 2018 17:30:52.671;100;2;0;2.00;;Working;;Sell;SCA B Dec 18 C 290;SCA B;Internal;XPET;Arg33naqm5mu;be088ecc-545e-11e8-b400-252ee4ffbdc1;be08e93a-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:30:13.622;Thursday, May 10, 2018 17:30:13.637;100;23;0;1.00;;Working;;Buy;SCA B Dec 18 C 290;SCA B;Internal;XPET;Arg33naqm5mn;a6c2915e-545e-11e8-b380-c1ccf142e871;a6c4a37c-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:30:26.055;Thursday, May 10, 2018 17:30:26.069;100;64;0;23.00;;Working;;Buy;SCA B Dec 18 C 250;SCA B;Internal;XPET;Arg33naqm5mp;ae2ba3fe-545e-11e8-b380-c1ccf142e871;ae2dbd4c-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:30:37.183;Thursday, May 10, 2018 17:30:37.194;100;45;0;56.00;;Working;;Buy;SCA B Dec 18 P 390;SCA B;Internal;XPET;Arg33naqm5mr;b4cd96b8-545e-11e8-b380-c1ccf142e871;b4cf3c34-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
Thursday, May 10, 2018 17:30:48.712;Thursday, May 10, 2018 17:35:16.152;100;38;15;67.00;;Working;;Buy;SCA B Dec 18 C 150;SCA B;Internal;XPET;Arg33naqm5mt;bbacc878-545e-11e8-b380-c1ccf142e871;bbad29f8-545e-11e8-93b0-d35876c89347;mifid_int_fix-tr
